Time Intervals,photovoltaic,wind,Demand
tX0750,0,3919.0,39571.75
tX0751,0,3889.0,38404.25
tX0752,1.0,3913.0,40427.75
tX0753,355.0,3738.0,43541.75
tX0754,1770.0,3503.0,47177.5
tX0755,3423.0,3265.0,49782.25
tX0756,4370.0,3408.0,52287.5
tX0757,4737.0,3405.0,51713.25
tX0758,4364.0,3793.0,49888.25
tX0759,3308.0,4253.0,48499.0
tX0760,1883.0,4606.0,48068.0
tX0761,439.0,5289.0,48673.0
tX0762,15.0,5957.0,52726.25
tX0763,0,6403.0,55560.5
tX0764,0,7125.0,54742.25
tX0765,0,7390.0,52377.25
tX0766,0,7436.0,51031.5
tX0767,0,7734.0,51665.5
tX0768,0,7654.0,49470.0
tX0769,0,7403.0,46854.5
tX0770,0,7406.0,45199.5
tX0771,0,7127.0,44113.5
tX0772,0,7529.0,44358.0
